datetime,Open,High,Low,Close,Volume
2024-12-30 14:45:00,2606.985,2608.225,2606.195,2607.085,2444
2024-12-30 15:00:00,2607.085,2608.085,2606.305,2607.464,2367
2024-12-30 15:15:00,2607.455,2609.365,2607.255,2607.985,2631
2024-12-30 15:30:00,2607.985,2609.055,2607.325,2608.565,1660
2024-12-30 15:45:00,2608.535,2609.165,2607.335,2607.585,1769
2024-12-30 16:00:00,2607.595,2607.865,2606.815,2606.955,646
2024-12-30 16:15:00,2606.975,2607.845,2606.535,2607.675,454
2024-12-30 16:30:00,2607.675,2607.815,2606.475,2607.125,211
2024-12-30 16:45:00,2607.145,2607.175,2605.095,2605.705,312
2024-12-30 18:00:00,2605.455,2606.598,2603.855,2604.155,465
2024-12-30 18:15:00,2604.135,2604.685,2603.548,2604.298,594
2024-12-30 18:30:00,2604.298,2606.175,2604.298,2605.998,552
2024-12-30 18:45:00,2606.015,2607.098,2605.998,2606.548,541
2024-12-30 19:00:00,2606.504,2606.648,2604.965,2605.045,480
2024-12-30 19:15:00,2605.065,2607.005,2604.855,2606.765,405
2024-12-30 19:30:00,2606.755,2607.225,2606.345,2606.685,659
2024-12-30 19:45:00,2606.635,2608.505,2606.575,2607.585,688
2024-12-30 20:00:00,2607.585,2607.975,2606.505,2607.535,2045
2024-12-30 20:15:00,2607.465,2610.055,2607.465,2610.015,1286
2024-12-30 20:30:00,2610.015,2611.375,2608.804,2609.248,2403
2024-12-30 20:45:00,2609.265,2609.945,2608.025,2608.745,2790
2024-12-30 21:00:00,2608.745,2609.525,2607.965,2608.048,1900
2024-12-30 21:15:00,2608.048,2609.348,2607.948,2609.015,879
2024-12-30 21:30:00,2609.015,2609.298,2608.055,2608.245,1244
2024-12-30 21:45:00,2608.215,2608.285,2606.665,2606.985,1260
2024-12-30 22:00:00,2606.965,2607.198,2605.205,2606.815,1506
2024-12-30 22:15:00,2606.815,2607.365,2606.235,2606.875,1377
2024-12-30 22:30:00,2606.895,2607.265,2605.335,2605.505,848
2024-12-30 22:45:00,2605.515,2605.515,2603.305,2604.418,1465
2024-12-30 23:00:00,2604.418,2605.275,2604.044,2605.018,893
2024-12-30 23:15:00,2604.985,2605.358,2604.845,2605.005,1121
2024-12-30 23:30:00,2605.098,2606.885,2604.798,2606.545,682
2024-12-30 23:45:00,2606.525,2606.985,2605.998,2606.455,881
2024-12-31 00:00:00,2606.475,2607.428,2606.098,2607.418,773
2024-12-31 00:15:00,2607.398,2607.898,2606.825,2606.905,612
2024-12-31 00:30:00,2606.905,2606.905,2605.085,2606.015,1430
2024-12-31 00:45:00,2606.015,2606.735,2602.475,2604.235,2145
2024-12-31 01:00:00,2604.165,2605.175,2603.405,2604.815,1979
2024-12-31 01:15:00,2604.868,2608.248,2604.315,2607.735,2607
2024-12-31 01:30:00,2607.745,2608.198,2605.775,2606.165,2127
2024-12-31 01:45:00,2606.175,2608.415,2606.175,2607.625,1854
2024-12-31 02:00:00,2607.615,2609.005,2607.228,2608.198,1882
2024-12-31 02:15:00,2608.198,2608.498,2607.128,2607.898,1867
2024-12-31 02:30:00,2607.865,2611.285,2607.865,2611.155,2308
2024-12-31 02:45:00,2611.155,2613.965,2611.148,2613.555,3026
2024-12-31 03:00:00,2613.615,2614.795,2612.835,2614.145,2494
2024-12-31 03:15:00,2614.145,2614.805,2612.635,2612.944,2385
2024-12-31 03:30:00,2612.964,2616.815,2612.698,2615.948,2591
2024-12-31 03:45:00,2615.904,2617.595,2614.748,2616.415,2250
2024-12-31 04:00:00,2616.354,2616.648,2613.614,2613.714,1878
2024-12-31 04:15:00,2613.715,2615.205,2612.875,2614.865,2170
2024-12-31 04:30:00,2614.868,2616.175,2614.248,2614.348,1946
2024-12-31 04:45:00,2614.324,2616.048,2614.005,2615.125,1468
2024-12-31 05:00:00,2615.125,2615.565,2613.005,2614.345,2371
2024-12-31 05:15:00,2614.305,2614.645,2612.625,2612.745,1431
2024-12-31 05:30:00,2612.715,2613.365,2610.705,2612.078,2150
2024-12-31 05:45:00,2612.078,2613.665,2611.035,2611.525,1948
2024-12-31 06:00:00,2611.525,2614.045,2611.485,2612.285,2037
2024-12-31 06:15:00,2612.265,2612.265,2609.615,2610.035,1902
2024-12-31 06:30:00,2610.035,2611.848,2609.785,2610.248,1734
2024-12-31 06:45:00,2610.248,2611.798,2610.148,2610.825,1682
2024-12-31 07:00:00,2610.795,2611.865,2609.075,2610.115,3039
2024-12-31 07:15:00,2610.115,2611.148,2609.224,2610.548,1608
2024-12-31 07:30:00,2610.515,2610.948,2609.535,2610.248,1450
2024-12-31 07:45:00,2610.248,2612.548,2609.948,2610.905,2093
